num,user,branch,mode,level,time,block,interval,seed,score,block_index,block_num_max,elapsed_time,game_time,line,gameover_count,line1,line2,line3,line4
001,isshy,ish08a,default,1,180,0180,001,0,21805,180,180,1.186,180,67,0,7,4,0,13
004,isshy,ish08a,default,2,180,0180,001,48,12584,180,180,1.354,180,46,1,7,5,3,5
003,isshy,ish08a,default,2,180,0180,001,149,18900,180,180,1.382,180,67,0,12,4,5,8
008,isshy,ish08a,default,2,180,0180,001,240,20634,180,180,1.33,180,64,0,8,1,2,12
005,isshy,ish08a,default,2,180,0180,001,270,18717,180,180,1.348,180,63,0,11,2,4,9
007,isshy,ish08a,default,2,180,0180,001,339,19141,180,180,1.42,180,65,0,14,1,3,10
011,isshy,ish08a,default,2,180,0180,001,348,17828,180,180,1.508,180,53,1,4,1,1,11
010,isshy,ish08a,default,2,180,0180,001,531,18815,180,180,1.379,180,62,0,8,4,2,10
002,isshy,ish08a,default,2,180,0180,001,620,20278,180,180,1.371,180,66,0,6,5,2,11
006,isshy,ish08a,default,2,180,0180,001,714,21262,180,180,1.366,180,67,0,6,2,3,12
009,isshy,ish08a,default,2,180,0180,001,804,18347,180,180,1.482,180,62,0,9,4,3,9
014,isshy,ish08a,default,3,180,0180,001,48,9677,180,180,1.57,180,58,1,33,9,1,1
013,isshy,ish08a,default,3,180,0180,001,149,12419,180,180,1.625,180,70,0,43,8,1,2
018,isshy,ish08a,default,3,180,0180,001,240,15229,180,180,1.561,180,70,0,31,8,1,5
015,isshy,ish08a,default,3,180,0180,001,270,10490,180,180,1.773,180,61,1,34,8,1,2
017,isshy,ish08a,default,3,180,0180,001,339,9458,180,180,1.616,180,58,1,31,10,1,1
021,isshy,ish08a,default,3,180,0180,001,348,9510,180,180,1.481,180,60,1,39,6,3,0
020,isshy,ish08a,default,3,180,0180,001,531,5929,180,180,1.678,180,42,3,22,7,2,0
012,isshy,ish08a,default,3,180,0180,001,620,8214,180,180,1.664,180,59,1,52,2,1,0
016,isshy,ish08a,default,3,180,0180,001,714,14143,180,180,1.613,180,69,0,30,9,3,3
019,isshy,ish08a,default,3,180,0180,001,804,9883,180,180,1.628,180,65,1,39,10,2,0
013,isshy,ish08b,default,4,030,0180,001,48,580345,9289,-1,30.003,30,3013,69,1086,476,177,111
012,isshy,ish08b,default,4,030,0180,001,149,498146,9100,-1,30.0,30,2757,89,1063,433,168,81
017,isshy,ish08b,default,4,030,0180,001,240,549909,9330,-1,30.002,30,2942,77,1115,461,183,89
014,isshy,ish08b,default,4,030,0180,001,270,596635,9193,-1,30.002,30,3045,61,1107,463,168,127
016,isshy,ish08b,default,4,030,0180,001,339,520306,9215,-1,30.0,30,2803,86,1032,454,161,95
020,isshy,ish08b,default,4,030,0180,001,348,494158,8232,-1,30.004,30,2551,73,901,408,126,114
019,isshy,ish08b,default,4,030,0180,001,531,532258,9179,-1,30.032,30,2872,77,1082,456,170,92
011,isshy,ish08b,default,4,030,0180,001,620,635969,9648,-1,30.001,30,3228,61,1097,534,193,121
015,isshy,ish08b,default,4,030,0180,001,714,558772,9214,-1,30.003,30,2936,71,1121,449,151,116
018,isshy,ish08b,default,4,030,0180,001,804,534878,8872,-1,30.003,30,2809,72,1044,423,165,106
003,obo,level4,default,4,030,0180,001,48,447809,5540,-1,30.004,30,2204,1,1101,201,83,113
002,obo,level4,default,4,030,0180,001,149,471046,5510,-1,30.005,30,2200,0,989,209,79,139
007,obo,level4,default,4,030,0180,001,240,461271,5498,-1,30.003,30,2199,0,1033,214,70,132
004,obo,level4,default,4,030,0180,001,270,443293,5430,-1,30.004,30,2149,2,1008,218,79,117
006,obo,level4,default,4,030,0180,001,339,453482,5419,-1,30.003,30,2166,0,999,210,85,123
010,obo,level4,default,4,030,0180,001,348,462632,5500,-1,30.005,30,2197,0,1010,213,83,128
009,obo,level4,default,4,030,0180,001,531,437585,5538,-1,30.003,30,2205,1,1161,197,74,107
001,obo,level4,default,4,030,0180,001,620,481538,5852,-1,30.001,30,2329,1,1125,236,60,138
005,obo,level4,default,4,030,0180,001,714,458458,5372,-1,30.003,30,2133,1,919,211,88,132
008,obo,level4,default,4,030,0180,001,804,439511,5471,-1,30.005,30,2176,1,1037,235,87,102
